k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;549;41190;24329;17990;18896;
2;512;31849;18269;14231;14722;
3;535;36615;21087;16524;18089;
4;478;28904;16982;14169;15042;
5;542;32617;18312;14711;16532;
6;548;37935;22840;14605;14977;
7;553;43424;23184;17703;18341;
8;638;44873;25113;21513;23666;
9;457;36153;21621;14297;15200;
10;505;34513;19631;14367;15502;
