k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;10611;15125789;8607200;6417482;7450982;
2;10247;13279959;7558558;6150597;7107545;
3;10468;12844991;7289805;6058571;7178635;
4;10281;12659076;7281267;6199638;7319059;
5;10685;13238138;7711279;6423748;7557851;
6;10566;12184440;7145108;6198342;7319404;
7;10566;14087893;8381289;6596657;7599959;
8;10348;13267116;7472097;6129448;7290666;
9;10351;12433344;7275077;6256887;7368247;
10;10574;13326547;7589661;6216401;7381086;
