k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;5217;3108225;1839182;1616714;1942154;
2;5436;3573158;2064998;1751783;2030615;
3;5281;3299279;1909026;1692027;2014069;
4;5484;3406256;1966042;1694326;2012595;
5;5095;3385933;1884943;1484525;1702430;
6;5137;3104952;1660318;1454497;1753982;
7;5343;3388791;1985999;1666676;2001931;
8;5350;3376634;1924123;1570870;1840329;
9;5408;3614983;2065484;1706328;2014608;
10;5275;3314825;1938870;1527768;1763490;
