k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;217;4434;3281;3351;4656;
2;237;8767;4797;3360;3410;
3;233;6208;3874;3887;4255;
4;230;9356;5137;3326;3424;
5;188;4257;2735;2333;2807;
6;207;6660;3533;3024;4040;
7;244;11224;6214;4133;3954;
8;202;4203;2169;1680;2036;
9;139;3507;2095;2176;2870;
10;216;5386;3579;2110;2430;
