k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;217;4423;3167;3048;3679;
2;237;8679;4797;3319;2990;
3;233;6208;3874;3626;3859;
4;230;9356;5118;3326;3063;
5;188;4257;2571;2173;2203;
6;207;6630;3533;3024;3161;
7;244;10748;6202;4133;3954;
8;202;4084;2106;1663;1707;
9;139;3475;2086;2038;2120;
10;216;5280;3479;2110;2091;
