k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;1136;156509;89609;73270;88803;
2;1082;144265;76795;59849;68884;
3;1074;136923;85478;69685;81906;
4;1046;136874;87867;70192;79000;
5;1059;133423;74516;55289;67120;
6;1052;156592;86711;62945;69393;
7;1041;141613;79854;63306;73184;
8;1185;168943;95428;86190;101714;
9;1081;125161;73550;62490;71762;
10;1063;123989;72693;63770;72931;
