k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;116;1936;1025;841;860;
2;129;1001;1041;691;639;
3;125;1703;942;798;927;
4;102;2170;1229;815;815;
5;94;1153;770;529;591;
6;88;1495;1270;761;988;
7;103;2333;1534;1232;1083;
8;79;1710;1003;610;619;
9;92;1627;874;674;581;
10;127;1869;1119;710;709;
