k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;2129;518771;308746;262441;296680;
2;2132;560199;330298;266979;311411;
3;2001;517208;303243;254993;291385;
4;2149;598547;356973;297143;331380;
5;2171;543132;316818;262837;304661;
6;2071;499149;289097;240585;286294;
7;2060;475984;277486;249801;290390;
8;2098;519639;286722;227538;260995;
9;2075;573188;325668;256144;289146;
10;2128;560045;329761;268774;302187;
