k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;10611;15201127;8643682;6421646;7893787;
2;10247;13356727;7593065;6166369;7140896;
3;10468;12923049;7319606;6096485;7213636;
4;10281;12723417;7309398;6251904;7352680;
5;10685;13307130;7746508;6434138;7586859;
6;10566;12246773;7174559;6214507;7517988;
7;10566;14158937;8426018;6609508;7632551;
8;10348;13341960;7510863;6161386;7329654;
9;10351;12492365;7302677;6295629;7402291;
10;10574;13389810;7631117;6247610;7427603;
