k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;2129;525988;311867;264736;308015;
2;2132;567843;335217;267201;315200;
3;2001;530145;308280;255433;295692;
4;2149;602659;360418;298332;333292;
5;2171;552095;322268;265419;317616;
6;2071;506790;292458;244616;289691;
7;2060;485397;279698;254657;308881;
8;2098;529818;290694;229478;288965;
9;2075;585564;331116;258629;297540;
10;2128;571802;332843;269317;327193;
