k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;1136;152089;87877;72181;79712;
2;1082;138357;75582;59363;66855;
3;1074;132429;84048;68978;79261;
4;1046;133329;85081;69012;75284;
5;1059;129322;73638;55289;61626;
6;1052;150935;83114;62484;68431;
7;1041;139587;79231;62208;68027;
8;1185;165538;95260;84512;90963;
9;1081;120082;72610;61492;68076;
10;1063;121964;72517;61654;69704;
