k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;5217;3087413;1830576;1603798;1889634;
2;5436;3544822;2052238;1737652;2017977;
3;5281;3272714;1901082;1670369;1982363;
4;5484;3380559;1949198;1681087;1964483;
5;5095;3350111;1870918;1477070;1694017;
6;5137;3068024;1648090;1444271;1722546;
7;5343;3359322;1971775;1663940;1988007;
8;5350;3343841;1908554;1557914;1821720;
9;5408;3580850;2047929;1696549;1979756;
10;5275;3284709;1924792;1523824;1750388;
