k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;549;41956;24715;18034;20164;
2;512;33653;19223;14759;15876;
3;535;38227;21365;16541;18970;
4;478;29744;17612;14326;19856;
5;542;32636;18334;15930;17307;
6;548;39453;24020;14824;16996;
7;553;43898;23471;17799;20391;
8;638;45547;25387;22110;27014;
9;457;37442;22147;14345;15774;
10;505;36295;19840;14411;16270;
