k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;5217;3108204;1839182;1632280;2170852;
2;5436;3573158;2064998;1751625;2252177;
3;5281;3298996;1909026;1700091;2258705;
4;5484;3406188;1949198;1696197;2211251;
5;5095;3384849;1877655;1477070;1926898;
6;5137;3068024;1660318;1476118;1964391;
7;5343;3385888;1978580;1676953;2240895;
8;5350;3376631;1924123;1566870;2097282;
9;5408;3615000;2065484;1710518;2220458;
10;5275;3314825;1938870;1527383;2010087;
