k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;2129;525988;309127;265360;341022;
2;2132;567843;335191;267864;364091;
3;2001;530145;308280;255466;337980;
4;2149;602659;360418;297464;373434;
5;2171;552095;322268;267853;350450;
6;2071;504520;292458;240503;322590;
7;2060;485397;279893;255879;335321;
8;2098;529818;289857;229510;293067;
9;2075;585642;331116;256144;324882;
10;2128;571802;332843;269221;327537;
