k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;116;1936;1025;841;871;
2;129;1090;1671;691;1323;
3;125;1731;954;798;927;
4;102;2183;1229;815;815;
5;94;1180;897;571;655;
6;88;1544;1712;761;1035;
7;103;2550;1662;1433;1486;
8;79;1800;1003;628;712;
9;92;1749;907;815;600;
10;127;1913;1119;710;719;
