k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;10611;15201127;8619025;6421536;8060933;
2;10247;13319825;7593067;6175340;8027482;
3;10468;12923049;7319537;6103010;8159732;
4;10281;12721734;7309398;6242159;8250108;
5;10685;13306933;7746508;6492959;8611003;
6;10566;12246773;7161321;6257891;8308705;
7;10566;14158937;8426018;6611026;8555423;
8;10348;13341960;7510863;6179415;8327812;
9;10351;12464654;7302797;6294596;8290111;
10;10574;13389244;7623520;6260347;8170990;
