k;SUM;h=0.2;h=0.4;h=0.6;h=0.8;
1;1136;156509;89609;73351;97319;
2;1082;138357;76193;60090;77038;
3;1074;136923;85478;69672;90149;
4;1046;136874;87888;69023;84006;
5;1059;133423;74516;55289;70213;
6;1052;156592;86711;62546;78199;
7;1041;141613;79854;62208;73888;
8;1185;168943;95428;86166;105421;
9;1081;125187;73550;61930;78132;
10;1063;123989;72693;62702;80566;
